0.08214,-0.07463,0.057812,-0.04047,0.045819,-0.03601,-0.19489,0.016678,-0.00951,0.024266,-0.03322,-0.14499,-0.02454,-0.02544,-0.02718,-0.00362,0.03131,-0.00838,-0.00597,-0.03604,-0.01871,-0.06357,0.010545,-0.02082,0.049543,-0.0387,-0.01325,-0.09124,-0.24854,0.027888
0.082372,-0.09093,0.074785,-0.02727,0.047442,-0.01319,-0.19586,0.002244,-0.0183,0.024434,-0.04281,-0.15089,-0.02756,-0.03461,-0.03403,-0.00611,0.015963,0.005114,-0.00494,-0.01998,-0.02676,-0.06252,-0.00799,-0.02923,0.047245,-0.01711,-0.00409,-0.10206,-0.2459,0.029332
0.083722,-0.08172,0.067738,-0.02088,0.048015,-0.02512,-0.20152,0.032037,-0.00362,0.023367,-0.02571,-0.15153,-0.03156,-0.03055,-0.04388,-0.00977,0.025012,0.008975,-0.00549,-0.03404,-0.02526,-0.06133,-0.01494,-0.02542,0.047502,-0.02422,-0.01126,-0.10983,-0.24912,0.029617
0.086804,-0.07663,0.051683,-0.0095,0.045407,-0.03784,-0.2082,0.016147,-0.00729,0.025604,-0.03913,-0.15488,-0.01007,-0.03999,-0.04972,0.003751,0.018868,0.007863,-0.00539,-0.04664,-0.02679,-0.06212,0.012017,-0.0176,0.048563,-0.03367,-0.00661,-0.10615,-0.24824,0.031637
0.088622,-0.09253,0.047197,-0.00582,0.043909,-0.01154,-0.2122,0.006739,-0.00358,0.024261,-0.0182,-0.1575,-0.01745,-0.03181,-0.05224,-0.0028,0.029378,0.001836,-0.00622,-0.02867,-0.0004,-0.06388,-0.00327,-0.02672,0.048442,-0.03706,-0.01905,-0.10341,-0.24615,0.027242
0.090814,-0.08138,0.068046,0.00281,0.046308,-0.02958,-0.20124,0.028533,0.008447,0.019589,-0.03761,-0.16047,-0.02406,-0.03967,-0.05894,-0.00973,0.011166,0.013806,-0.00663,-0.03588,-0.01059,-0.05938,-0.00399,-0.01995,0.049567,-0.01467,-0.01301,-0.09976,-0.24554,0.028945
0.087727,-0.07474,0.08158,0.008775,0.044497,-0.03939,-0.21027,0.014586,-0.00202,0.023849,-0.01299,-0.16409,-0.02883,-0.0327,-0.06452,0.004002,0.029555,0.001895,-0.00569,-0.04659,-0.0151,-0.06538,0.005317,-0.02945,0.049892,-0.02109,-0.00324,-0.04396,-0.24835,0.028781
0.086049,-0.06966,0.079275,0.013413,0.045036,-0.01495,-0.21274,0.003913,0.011812,0.021185,-0.02693,-0.16379,-0.03396,-0.04058,-0.06862,-0.00488,0.014577,-0.00999,-0.0054,-0.02851,-0.02559,-0.06332,-0.01164,-0.02733,0.047121,-0.0297,-0.01386,-0.05319,-0.24897,0.029652
0.084036,-0.06468,0.093214,0.013756,0.044685,-0.03005,-0.22392,0.029974,-0.00239,0.023599,-0.01205,-0.16474,-0.0389,-0.03412,-0.06558,0.01148,0.034325,0.007087,-0.00786,-0.04189,-0.02428,-0.06233,-0.00404,-0.02498,0.044011,-0.03612,-0.00603,-0.07978,-0.24742,0.030869
0.087982,-0.05971,0.082714,0.003301,0.046305,-0.0211,-0.21259,0.013486,0.009566,0.02032,-0.02158,-0.14808,-0.02981,-0.03943,-0.07071,0.003546,0.043639,-0.00179,-0.00902,-0.04478,-0.02683,-0.06601,-0.008,-0.02162,0.047689,-0.01142,-0.01823,-0.09371,-0.24742,0.030469
